typ,1,2,3,4,5,6,7,8,9 
rf,     0.85221478 
ab,0,5,1,7,     0.00039528 
ab,0,9,3,9,    -0.00129528 
ab,3,7,2,6,     0.04034725 
ab,0,9,0,9,    -0.00183930 
ab,0,8,2,6,     0.00149908 
ab,1,6,3,7,    -0.00081614 
ab,1,8,3,5,    -0.00069269 
ab,0,6,3,6,    -0.00100776 
bb,0,1,5,8,    -0.00001679 
ab,2,5,3,7,    -0.06942356 
ab,0,5,1,8,    -0.00022972 
ab,2,7,3,6,     0.03122357 
aa,2,3,5,7,     0.01569866 
ab,3,6,3,6,    -0.13718978 
ab,1,8,3,6,    -0.00119190 
ab,0,8,3,8,    -0.00170352 
ab,3,5,2,8,     0.03122357 
ab,1,6,3,8,    -0.00140432 
ab,2,9,0,4,    -0.00140462 
bb,2,3,6,7,    -0.00912366 
ab,2,4,0,9,    -0.00189738 
ab,0,5,2,7,    -0.00118637 
ab,3,6,2,8,     0.05372489 
ab,0,9,1,4,     0.00041752 
ab,2,4,3,9,    -0.04900322 
aa,0,2,4,9,    -0.00049275 
ab,0,6,2,7,     0.00068947 
ab,1,7,0,5,     0.00039528 
aa,2,3,4,9,     0.03919381 
ab,3,7,1,5,     0.00140432 
ab,2,9,1,9,     0.00070978 
ab,0,4,2,9,    -0.00140462 
ab,1,9,3,4,     0.00158983 
ab,2,8,0,5,     0.00068947 
aa,0,1,6,8,    -0.00002895 
bb,0,1,6,7,    -0.00001679 
bb,2,3,5,8,    -0.00912366 
aa,0,1,4,9,     0.00007302 
ab,2,5,3,8,     0.04034725 
ab,0,7,2,5,    -0.00149908 
ab,1,5,0,7,     0.00042423 
ab,1,4,2,4,     0.00197248 
ab,2,6,3,7,     0.04034725 
ab,2,5,2,5,    -0.08914846 
ab,1,5,3,8,    -0.00081614 
ab,1,9,0,4,     0.00034448 
ab,3,7,0,7,    -0.00170352 
ab,2,7,2,7,    -0.02943864 
ab,1,6,1,6,    -0.00018267 
bb,0,1,6,8,    -0.00002895 
ab,0,7,1,6,    -0.00024654 
ab,3,5,3,5,    -0.13718978 
bb,0,1,4,9,     0.00007302 
bb,2,3,4,9,     0.03919381 
ab,1,7,0,6,    -0.00022972 
ab,2,6,0,8,     0.00149908 
bb,2,3,6,8,    -0.01569866 
ab,0,9,2,4,    -0.00189738 
ab,1,7,1,7,    -0.00067753 
ab,3,8,1,5,    -0.00081614 
aa,0,2,5,7,    -0.00031271 
ab,3,5,2,7,    -0.05372489 
ab,2,8,1,8,     0.00148114 
ab,2,7,3,5,    -0.05372489 
ab,1,8,2,8,     0.00148114 
ab,3,8,2,6,     0.06942356 
aa,0,2,5,8,     0.00018174 
ab,1,5,1,5,    -0.00018267 
bb,1,3,5,7,    -0.00021242 
ab,2,6,1,6,     0.00165118 
ab,3,8,3,8,    -0.05124501 
ab,0,8,1,5,    -0.00024654 
bb,0,2,5,8,     0.00018174 
ab,2,9,3,4,    -0.00980940 
ab,0,6,2,8,     0.00118637 
ab,1,9,1,9,    -0.00178051 
aa,0,1,6,7,    -0.00001679 
ab,3,5,1,7,     0.00119190 
ab,0,7,3,7,    -0.00170352 
ab,3,9,3,9,     0.00895725 
ab,3,9,0,9,    -0.00129528 
ab,1,7,3,6,    -0.00069269 
aa,2,3,6,8,    -0.01569866 
ab,2,5,0,7,    -0.00149908 
ab,3,7,2,5,    -0.06942356 
ab,0,8,2,5,     0.00087121 
ab,1,7,3,5,     0.00119190 
ab,1,6,0,7,    -0.00024654 
aa,0,2,6,8,     0.00031271 
ab,3,4,2,9,    -0.00980940 
aa,0,1,5,7,     0.00002895 
ab,3,5,1,8,    -0.00069269 
ab,2,8,0,6,     0.00118637 
ab,0,8,0,8,    -0.00071822 
ab,1,9,2,9,     0.00070978 
ab,0,4,3,4,    -0.00068544 
ab,2,7,1,7,     0.00148114 
ab,3,9,1,4,     0.00115691 
ab,3,4,1,9,     0.00158983 
ab,1,5,3,7,     0.00140432 
bb,1,3,6,8,     0.00021242 
ab,1,8,0,5,    -0.00022972 
ab,2,7,0,6,     0.00068947 
aa,1,3,5,7,    -0.00021242 
ab,1,6,0,8,    -0.00042423 
aa,1,3,6,7,     0.00012346 
ab,0,5,0,5,    -0.00015334 
ab,2,6,0,7,     0.00087121 
ab,2,5,0,8,     0.00087121 
ab,3,7,1,6,    -0.00081614 
ab,0,7,2,6,     0.00087121 
bb,0,2,6,8,     0.00031271 
bb,2,3,5,7,     0.01569866 
ab,3,4,0,4,    -0.00068544 
ab,1,7,2,7,     0.00148114 
bb,0,1,5,7,     0.00002895 
ab,3,6,1,8,    -0.00119190 
ab,3,6,0,6,    -0.00100776 
ab,0,7,1,5,     0.00042423 
bb,1,3,5,8,     0.00012346 
bb,0,2,6,7,     0.00018174 
ab,1,5,0,8,    -0.00024654 
ab,2,4,1,4,     0.00197248 
ab,1,8,0,6,    -0.00039528 
bb,0,2,5,7,    -0.00031271 
ab,0,5,3,5,    -0.00100776 
ab,2,8,3,6,     0.05372489 
ab,2,7,0,5,    -0.00118637 
ab,3,6,1,7,    -0.00069269 
ab,2,9,2,9,    -0.03512795 
ab,1,4,1,4,    -0.00003237 
ab,2,5,1,5,     0.00165118 
ab,3,8,1,6,    -0.00140432 
ab,0,4,0,4,     0.00003940 
ab,0,6,1,7,    -0.00022972 
ab,2,6,3,8,     0.06942356 
bb,1,3,6,7,     0.00012346 
ab,2,8,3,5,     0.03122357 
ab,0,6,0,6,    -0.00015334 
ab,2,4,2,4,    -0.02236303 
bb,1,3,4,9,     0.00043290 
ab,3,9,2,4,    -0.04900322 
aa,0,2,6,7,     0.00018174 
aa,2,3,6,7,    -0.00912366 
aa,1,3,5,8,     0.00012346 
bb,0,2,4,9,    -0.00049275 
ab,1,6,2,6,     0.00165118 
ab,0,5,2,8,     0.00068947 
ab,1,4,0,9,     0.00041752 
aa,0,1,5,8,    -0.00001679 
ab,3,6,2,7,     0.03122357 
ab,0,4,1,9,     0.00034448 
aa,1,3,4,9,     0.00043290 
ab,1,4,3,9,     0.00115691 
ab,3,5,0,5,    -0.00100776 
ab,3,8,2,5,     0.04034725 
ab,0,6,1,8,    -0.00039528 
ab,2,6,2,6,    -0.08914846 
ab,3,4,3,4,    -0.37937687 
ab,1,5,2,5,     0.00165118 
aa,1,3,6,8,     0.00021242 
aa,2,3,5,8,    -0.00912366 
ab,0,8,1,6,    -0.00042423 
ab,1,8,1,8,    -0.00067753 
ab,2,8,2,8,    -0.02943864 
ab,3,7,3,7,    -0.05124501 
ab,0,7,0,7,    -0.00071822 
ab,3,8,0,8,    -0.00170352 
aa,1,2,7,8,    -0.00000000 
abb,2,5,2,3,4,7,    -0.00403665 
abb,2,7,0,3,4,7,     0.00003576 
aabb,2,3,6,9,0,3,8,9,     0.00014893 
aabb,2,3,6,7,1,3,6,8,    -0.00011551 
aaab,1,2,3,4,6,8,2,4,     0.00003229 
aab,1,3,4,6,1,8,    -0.00001597 
aabb,1,2,5,7,0,2,5,6,     0.00003289 
aabb,1,3,8,9,1,3,4,5,     0.00000074 
aabb,1,3,5,6,2,3,7,8,    -0.00023996 
aabb,1,3,6,7,0,2,5,8,    -0.00007080 
aabb,0,3,6,9,2,3,7,9,     0.00006488 
aabb,0,2,4,5,2,3,7,9,    -0.00016991 
aab,0,2,6,9,2,5,     0.00000000 
ab,0,5,0,6,    -0.00000000 
aaab,1,2,3,6,7,9,2,9,    -0.00000965 
aab,0,3,4,8,0,5,    -0.00001598 
aabb,1,3,4,5,0,3,5,9,     0.00010807 
aabb,2,3,6,9,1,3,6,9,    -0.00013203 
abb,1,7,2,3,8,9,    -0.00000000 
aabb,0,2,5,8,0,2,5,8,     0.00008418 
aab,1,3,4,7,3,8,     0.00000000 
aabb,0,3,4,8,1,2,6,9,    -0.00002707 
aabb,0,3,7,8,2,3,6,7,    -0.00004700 
aabb,0,3,8,9,1,2,4,5,    -0.00004007 
aab,1,2,5,9,3,6,    -0.00000000 
abb,1,5,1,3,5,9,     0.00012226 
aabb,1,3,5,9,0,1,5,9,    -0.00000144 
aabb,0,1,4,8,0,3,4,6,    -0.00000016 
aab,2,3,6,9,1,5,    -0.00000000 
aabb,0,2,5,9,1,2,8,9,     0.00001554 
abb,3,9,0,2,6,7,     0.00004497 
abb,0,9,2,3,4,9,     0.00009709 
aab,2,3,5,9,0,8,    -0.00005791 
abb,3,8,2,3,6,9,     0.00166871 
aab,1,3,4,5,0,5,    -0.00009284 
aabb,2,3,8,9,0,3,5,9,     0.00006488 
abb,3,9,0,2,5,7,    -0.00007736 
aaab,0,2,3,4,6,8,2,9,     0.00002349 
aabb,1,3,5,6,1,3,7,8,    -0.00001750 
