p,r,1rdm
0,0,1.99991993531770
0,3,-0.00272038541146180
0,9,0.000227607091963048
1,1,1.99990892850721
1,2,-0.00238711851787743
1,4,-0.000933639855312564
2,2,1.88418712651066
2,4,0.0699901877975092
3,3,1.55088685583427
3,9,0.0372599134932080
4,4,0.315904791743814
5,5,0.0860898864983089
6,6,0.0860898864983102
7,7,0.0320727091592914
8,8,0.0320727091592922
9,9,0.0128671707711023
